"HAUL_ID","INDEX_NAME","SURVEY","STOCK","AREA","STRATUM","YEAR","DATE","LAT","LON","COD_N","COD_KG","DEPTH","SURFACE_TE","BOTTOM_TEM","SALINITY","BOTTOM_TYP","SEASON","AGEGROUP","AGE_N","AGE_KG","Data_type","TIME","RESPONSE","AREA_SWEPT","cobble_P","gravel_P","rock_P","mud_P","sand_P","BATHY_DEPT","oisst","rugos","COND","HAUL_ID2","setlat","endlat","setlon","endlon"
"201902_1260_6","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1260,2019,"5/12/2019 00:00:00",42.283,-70.0935,0,0,93,NA,5.2,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.75,0,0.95,0.9524,-103,9.68999958038,0.771594524384,"SMOOTH","2019_SPRING_398",42.283,42.29433333,-70.0935,-70.08383333
"201902_1270_1","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1270,2019,"5/10/2019 00:00:00",42.940833,-70.236,0,0,174,NA,0,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.1497,0,0.8001,0.7791,-150,9.31999969482,0.534478962421,"SMOOTH","2019_SPRING_380",42.94083333,42.95366667,-70.236,-70.25016667
"201902_1270_2","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1270,2019,"5/12/2019 00:00:00",42.1605,-69.988333,2,1.21,131,NA,5.1,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.2497,0,1,1,-118,9.18999958038,0.732155919075,"SMOOTH","2019_SPRING_397",42.1605,42.177,-69.98833333,-69.98333333
"201902_1270_3","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1270,2019,"5/10/2019 00:00:00",43.032667,-70.364167,0,0,123,NA,5.3,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.15,0,0.8504,0.7743,-122,9.57999992371,0.623995959759,"SMOOTH","2019_SPRING_379",43.03266667,43.01633333,-70.36416667,-70.37016667
"201902_1270_4","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1270,2019,"5/11/2019 00:00:00",42.067,-69.835333,1,4.417,154,NA,6.3,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.1498,0,0.8525,1,-125,9.03999996185,1.14235556126,"ROUGH","2019_SPRING_396",42.067,42.0825,-69.83533333,-69.84283333
"201902_1270_5","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1270,2019,"5/11/2019 00:00:00",42.6925,-69.969,0,0,184,NA,7.4,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.6985,0,0.8924,0.8122,-174,9.21000003815,1.08271181583,"SMOOTH","2019_SPRING_388",42.6925,42.67966667,-69.969,-69.95466667
"201902_1280_1","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1280,2019,"5/11/2019 00:00:00",42.837667,-69.811333,0,0,262,NA,7.9,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.198,0,0.6946,0.6312,-262,9.35999965668,0.414329856634,"SMOOTH","2019_SPRING_389",42.83766667,42.82866667,-69.81133333,-69.79266667
"201902_1280_2","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1280,2019,"5/11/2019 00:00:00",42.617667,-69.664333,0,0,270,NA,7.9,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0,0,0.9537,0.8552,-269,8.77999973297,0.719222724438,"ROUGH","2019_SPRING_391",42.61766667,42.63383333,-69.66433333,-69.67083333
"201902_1280_4","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1280,2019,"5/11/2019 00:00:00",42.383667,-69.817667,0,0,249,NA,7.9,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.1481,0,0.9548,0.9202,-235,9.0999994278,1.04538834095,"ROUGH","2019_SPRING_395",42.38366667,42.3995,-69.81766667,-69.813
"201902_1280_5","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1280,2019,"5/11/2019 00:00:00",42.377,-69.593667,0,0,243,NA,8,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0,0,0.9505,0.9347,-242,8.76000022888,0.535113096237,"SMOOTH","2019_SPRING_393",42.377,42.36333333,-69.59366667,-69.6065
"201902_1280_6","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1280,2019,"5/11/2019 00:00:00",42.778333,-69.691333,0,0,262,NA,7.9,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.0559,0,0.8276,0.7266,-268,8.92000007629,0.972934126854,"ROUGH","2019_SPRING_390",42.77833333,42.76933333,-69.69133333,-69.673
"201902_1280_7","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1280,2019,"5/11/2019 00:00:00",42.637167,-69.391667,0,0,240,NA,7.6,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.4343,0,0.8204,0.8474,-232,8.38999938965,0.753225326538,"ROUGH","2019_SPRING_392",42.63716667,42.62166667,-69.39166667,-69.38383333
"201902_1370_1","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1370,2019,"5/9/2019 00:00:00",43.110333,-69.275667,0,0,210,NA,6.7,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.2308,0,0.9192,0.9201,-193,7.98999977112,0.656274855137,"SMOOTH","2019_SPRING_374",43.11033333,43.1185,-69.27566667,-69.256
